date,index_code,open,high,low,close,volume
2019-11-07,HNXINDEX,106.75,107.03,106.42,106.88,21388820
2019-11-08,HNXINDEX,107.38,107.9,106.88,107.27,24204684
2019-11-11,HNXINDEX,107.27,107.5,106.67,106.76,20522561
2019-11-12,HNXINDEX,106.76,107.09,106.38,106.96,19998959
2019-11-13,HNXINDEX,106.96,108.07,106.93,107.2,24916731
2019-11-14,HNXINDEX,107.2,107.44,106.13,106.24,21565179
2019-11-15,HNXINDEX,106.24,106.71,105.92,106.03,21445303
2019-11-18,HNXINDEX,106.02,106.34,105.02,105.15,18666193
2019-11-19,HNXINDEX,105.15,105.58,104.92,105.49,16934214
2019-11-20,HNXINDEX,105.6,105.73,104.68,104.91,15415992
2019-11-21,HNXINDEX,101.78,104.98,101.69,104.74,17294518
2019-11-22,HNXINDEX,104.74,104.92,102.67,103.09,23250356
2019-11-25,HNXINDEX,103.08,103.87,102.92,103.46,20563599
2019-11-26,HNXINDEX,103.46,104.2,103.39,103.99,16788018
2019-11-27,HNXINDEX,103.95,104.25,103.19,103.23,16071697
2019-11-28,HNXINDEX,103.24,103.52,102.05,102.34,17338744
2019-11-29,HNXINDEX,102.35,102.69,102.0,102.5,18702509
2019-12-02,HNXINDEX,102.5,102.78,100.83,100.9,23098810
2019-12-03,HNXINDEX,100.9,101.85,100.46,101.07,18571035
2019-12-04,HNXINDEX,101.07,102.54,100.85,102.47,20275693
2019-12-05,HNXINDEX,102.47,102.95,102.07,102.37,20149642
2019-12-06,HNXINDEX,102.37,102.78,102.14,102.5,15561594
2019-12-09,HNXINDEX,102.5,102.83,101.82,102.36,19243855
2019-12-10,HNXINDEX,102.36,102.57,101.42,102.04,16592186
2019-12-11,HNXINDEX,102.04,102.38,101.45,102.38,14648663
2019-12-12,HNXINDEX,102.38,102.85,102.11,102.71,23717193
2019-12-13,HNXINDEX,102.71,103.54,102.64,102.94,29612324
2019-12-16,HNXINDEX,102.95,103.74,102.95,103.22,26216290
2019-12-17,HNXINDEX,103.24,103.51,102.56,102.9,44014379
2019-12-18,HNXINDEX,102.89,102.94,101.58,101.8,27199668
2019-12-19,HNXINDEX,101.8,102.02,101.29,102.0,20620545
2019-12-20,HNXINDEX,102.0,102.42,101.62,102.42,20944728
2019-12-23,HNXINDEX,102.42,102.89,102.28,102.35,28858970
2019-12-24,HNXINDEX,102.34,102.64,101.87,102.45,19926459
2019-12-25,HNXINDEX,102.46,102.95,102.01,102.93,27823720
2019-12-26,HNXINDEX,102.93,102.93,101.89,102.32,21264942
2019-12-27,HNXINDEX,102.31,102.6,101.88,102.6,24942170
2019-12-30,HNXINDEX,102.6,102.97,101.75,102.16,26529593
2019-12-31,HNXINDEX,102.16,102.51,101.5,102.51,25838838
2020-01-02,HNXINDEX,102.51,103.06,102.22,102.99,19682735
2020-01-03,HNXINDEX,102.99,103.52,102.27,102.39,21848453
2020-01-06,HNXINDEX,102.39,102.43,101.11,101.23,24509390
2020-01-07,HNXINDEX,101.23,101.63,100.95,101.42,19294344
2020-01-08,HNXINDEX,101.46,101.75,100.07,100.92,11535540
2020-01-09,HNXINDEX,100.33,101.74,100.32,101.25,9254968
2020-01-10,HNXINDEX,101.36,102.76,101.35,102.22,32274062
2020-01-13,HNXINDEX,102.22,102.83,101.98,102.3,23704628
2020-01-14,HNXINDEX,102.3,103.48,102.14,103.36,20440034
2020-01-15,HNXINDEX,103.36,103.46,102.62,103.19,18831413
2020-01-16,HNXINDEX,103.19,104.54,103.14,104.32,23021865
2020-01-17,HNXINDEX,104.32,104.66,103.68,103.88,20998900
2020-01-20,HNXINDEX,103.88,105.24,103.57,104.64,22989583
2020-01-21,HNXINDEX,104.64,105.88,104.53,105.59,25422355
2020-01-22,HNXINDEX,105.59,106.28,105.21,106.28,24758473
2020-01-30,HNXINDEX,106.28,106.28,103.12,104.11,29849374
2020-01-31,HNXINDEX,104.09,104.53,102.22,102.36,47522555
2020-02-03,HNXINDEX,102.4,102.45,98.58,101.31,63521733
2020-02-04,HNXINDEX,101.58,102.58,100.92,102.57,29833323
2020-02-05,HNXINDEX,102.57,103.93,102.31,103.19,34827420
2020-02-06,HNXINDEX,102.8,105.84,102.74,105.84,33582447
2020-02-07,HNXINDEX,105.84,106.06,104.55,104.92,30804829
2020-02-10,HNXINDEX,104.92,105.08,103.69,103.97,28848434
2020-02-11,HNXINDEX,103.97,104.82,103.62,104.78,26348149
2020-02-12,HNXINDEX,104.78,108.64,104.78,108.51,41462436
2020-02-13,HNXINDEX,108.51,108.71,107.35,108.19,36541133
2020-02-14,HNXINDEX,108.19,110.42,108.19,109.74,30675790
2020-02-17,HNXINDEX,109.74,110.21,108.91,109.57,28806146
2020-02-18,HNXINDEX,109.57,111.01,109.31,110.07,28521342
2020-02-19,HNXINDEX,110.07,110.19,108.7,109.3,30425471
2020-02-20,HNXINDEX,109.3,110.92,108.85,109.57,35877582
2020-02-21,HNXINDEX,109.57,109.92,107.15,108.09,33072872
2020-02-24,HNXINDEX,108.09,108.09,103.8,104.18,64980105
2020-02-25,HNXINDEX,104.08,106.68,102.48,106.66,42554203
2020-02-26,HNXINDEX,106.66,107.34,105.08,106.61,52931256
2020-02-27,HNXINDEX,106.61,109.38,105.69,109.26,41813575
2020-02-28,HNXINDEX,108.9,109.69,104.87,109.58,65579274
2020-03-02,HNXINDEX,109.58,110.77,108.15,110.67,78154131
2020-03-03,HNXINDEX,110.86,113.4,110.78,112.58,78402725
2020-03-04,HNXINDEX,112.6,114.02,111.81,114.02,87859605
2020-03-05,HNXINDEX,114.03,116.67,114.03,115.03,110920939
2020-03-06,HNXINDEX,115.03,115.03,112.88,113.66,50521552
2020-03-09,HNXINDEX,113.64,113.64,105.75,106.34,54731620
2020-03-10,HNXINDEX,104.87,108.25,103.35,106.2,62318679
2020-03-11,HNXINDEX,106.2,107.97,102.5,105.52,71651940
2020-03-12,HNXINDEX,105.54,105.54,100.54,101.92,74738948
2020-03-13,HNXINDEX,101.99,102.24,97.07,101.38,84581037
2020-03-16,HNXINDEX,101.4,101.85,98.9,99.62,40707487
2020-03-17,HNXINDEX,99.64,101.05,96.79,100.72,47438568
2020-03-18,HNXINDEX,100.75,102.55,100.64,101.84,66041806
2020-03-19,HNXINDEX,101.84,101.96,99.83,100.99,87560554
2020-03-20,HNXINDEX,101.03,104.69,100.31,101.79,50042454
2020-03-23,HNXINDEX,101.52,101.52,96.08,96.46,64746314
